interpretation_key	fact_statement	interpretation	do_not_interpret_as	confidence	evidence_path	effective_at
coarse_pipeline_yield_target_within_six_sample_panel	The original target pilot has 49,793 final P0/P1 evidence rows and 23,867 exact-span rows; the six equalized comparison datasets span 46,160-53,509 final rows and 22,114-25,886 exact-span rows.	At coarse pipeline-yield level, the target pilot is within the technical-comparison panel range and does not show a gross global assignment or P0/P1 evidence-yield imbalance.	Do not interpret coarse row-count similarity as evidence that individual repeat loci, repeat lengths, motifs, or biology are normal; locus- and motif-level comparison is the next gate.	HIGH	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:03:38+00:00
core_v042_repeat_ready_not_biology_ready	The v0.4.2 core package losslessly preserves read-level repeat calls/events, repeat length state, purity, LPS, compound segments, structured interruptions, discordance operations, geometry, and censoring, but it does not yet materialize transcript/isoform, haplotype, explicit observability, molecule-independence, sample-locus summary, multi-lane ranking, or dossier outputs.	The current output is repeat-ready and suitable as the immutable substrate for biology enrichment, but it is not yet biology-ready or interpretation-ready for large-cohort triage.	Do not call read_id an independent biological molecule without evidence, infer haplotypes or allele meaning without phase evidence, treat sidecar missingness as a negative result, or replace molecule-level distributions with summary-only output.	HIGH	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-08T13:40:00+00:00
cpu_parallel_active_gpu_deferred	The productionized 16-process 11f/11h pair preserves all audited legacy outputs exactly and runs in about 75 seconds on the 100k pilot versus a historical mean near 508 seconds.	CPU multiprocessing is the active first-line performance solution. RTX 3090 acceleration remains available but is deferred until general caller v0.4.0 integration reveals the new bottleneck.	Do not delete serial reference implementations or treat GPU deferral as permanent.	HIGH	/mnt/intelssd/rnatr_project/qc/13_parallel_active_promotion/v0.1.0/parallel_active_promotion.qc.tsv	2026-08-07T08:15:00+00:00
failure_code_qc_flags_materialization_are_orthogonal	All 18 CALLED_NOT_RETAINED attempts in the frozen 100k set are caller LOW_CONFIDENCE and have prior_overlap_bp <= 0. Their primary failure_code is GENERAL_CALLER_LOW_CONFIDENCE, while qc_flags retain both CALLER_LOW_CONFIDENCE and PRIOR_OVERLAP_NONPOSITIVE and materialization_status records non-eventization.	LOW_CONFIDENCE alone is not the eventization blocker: 6,307 CALLED attempts are LOW_CONFIDENCE and 6,289 are still eventized. The nonpositive locus-prior overlap is the eventization guard and remains explicitly encoded.	Do not force failure_code to duplicate materialization_status or discard secondary QC conditions.	HIGH	/mnt/intelssd/rnatr_project/qc/14_schema_v042_promotion/ENCSR307SHM_pilot100k_mm2splice_v1/v0.1.2/schema_v042_promotion.qc.tsv	2026-08-08T02:00:00+00:00
g31_candidate_entry_79pct_v0_1_0	4,212,263 of 5,312,696 reads (79.2867%) entered the broad 11b candidate set; 3,020,451 had exact catalog overlap and 1,191,812 were proximity-only within +/-500 bp.	The rate describes sensitivity-oriented candidate entry in a transcriptome-concentrated RNA dataset and is deferred for biology/algorithmic interpretation.	Do not interpret 79.2867% as repeat-positive prevalence, pathogenicity, expansion prevalence, or final candidate prevalence.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/candidate_entry_rate_and_reason_audit.tsv	2026-08-10T00:00:00+00:00
g31_fullscale_multiplicity_scope_v0_1_0	Candidate/projection/caller/general/read_evidence rows were all 20,656,258; unique read-locus rows were 20,649,827; candidate rate and rows/read were stable across 100k, 500k, and full scale.	There is no evidence of scale-dependent row runaway or unexplained post-11b row birth for the current technical scope.	Do not treat this as complete biological validation of every field-level caller/materializer semantic or as proof that candidate entry is optimally narrow.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15d_g31_row_expansion_audit.qc.tsv	2026-08-10T00:00:00+00:00
generic_active_path_promotion_scope_v0_1_0	The generic entry/unit/sharded paths pass fixed-input exact parity, validation, restart/no-op, portable manifest smoke and post-publication state recovery on the current machine, and bind unchanged scientific components to Stage15C/15E evidence.	The generic Core may become the internal active production path.	Do not claim clean-install public release, cross-hardware reproducibility, arbitrary crash-instant coverage beyond registered tests, or closure of G24/G25-G34.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
gpu_available_not_yet_selected	The workstation exposes a functional NVIDIA GeForce RTX 3090 with 24576 MiB VRAM, compute capability 8.6, driver 595.84, and CUDA toolkit 11.5; nvidia-smi exits successfully.	GPU acceleration is technically feasible on this machine, but suitability for RNA-TR-Scout remains unresolved until 11f/11h dynamic profiling identifies whether their dominant kernels are sufficiently compute-heavy and batchable.	Do not install a GPU software stack or rewrite the caller for CUDA merely because a GPU is present. First quantify Python overhead, I/O, duplicate computation, and the DP/scoring kernel share.	HIGH	/mnt/intelssd/rnatr_project/results/13_performance_discovery/v0.1.1/gpu_probe.txt	2026-08-07T07:31:00+00:00
homopolymer_bias	Homopolymer loci show large bidirectional RNA-versus-DNA dispersion.	Homopolymers require a separate technical class and cannot use the same small-difference thresholds as non-homopolymer repeats.	Do not treat a few-base homopolymer deviation as biological repeat extension or shortening.	HIGH	/mnt/intelssd/rnatr_project/results/11_population_relative_length_bias_stratification/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
mapping_baseline_scope_v0_1_0	The active Core accepts mapped BAM plus source FASTQ and does not run minimap2; the historical validated minimap2 splice configuration remains separately registered.	Mapping runtime and optimization are separate from the active BAM-to-final Core contract.	Do not infer that source FASTQ is unnecessary or that any accelerated mapper is scientifically interchangeable without recall/assignment/final-output gates.	HIGH	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
max_statistic_inflation	For loci with at least 10 RNA reads, the maximum is above the upper tail in 75.8% while median-longer shift is 2.6%.	Maximum repeat length is strongly support-count dependent and primarily represents existence of an extreme molecule, not a locus-wide shift.	Do not interpret max-tail frequency as the fraction of biologically expanded loci.	HIGH	/mnt/intelssd/rnatr_project/results/11_population_relative_length_bias_stratification/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
native_v041_performance_validated_caller_only	Native deterministic v0.4.1 retains an approximately 18.9-minute linear 5.31M caller-only projection, while the exact empirical Stage15C BAM-to-final runtime is 60.041256352 minutes with mapping excluded and validators/publication included.	The measurement engine meets the caller-only 30-minute target without GPU. The complete BAM-to-final candidate passes the predeclared first-freeze tolerance but does not meet the 30-minute whole-pipeline target; caller-only and whole-pipeline performance must remain separate.	Do not report 18.9 minutes as complete-pipeline runtime or 60.041256352 minutes as strict <=60-minute PASS.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15c_fullscale_bam_to_final/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.6/stage15c_full_empirical_run.qc.tsv	2026-08-11T00:30:00+00:00
