component_key	component_name	implementation_state	contract_statement	active_implementation_id	evidence_path	effective_at
architecture_consistency_audit_v0_1_0	Architecture consistency audit contract v0.1.0	PASS_LOCAL_CORE_FREEZE_CHECKPOINTS	POST250K, PRE-RC, post-promotion, PRE_BIOLOGY, Stage15R and final exact-original Stage15S audits are complete for local Core Freeze; future major changes retain the audit cadence.	impl_stage15n_generic_active_path_promotion_v0_1_0	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_final_hygiene_audit_v0.1.0.md	2026-08-12T09:45:00+00:00
biology_ready_read_keyed_sidecars_v0_1_0	Biology-ready read-keyed sidecar contract v0.1.0	DESIGNED_NOT_IMPLEMENTED	Versioned sidecars must provide transcript/isoform state, haplotype state, observability, and molecule independence with explicit missingness and provenance, joinable by read_id/evidence_id without altering the core repeat source of truth.		/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-06T00:00:00+00:00
candidate_assignment_reverse_traceability_v0_1_0	Candidate-assignment reverse traceability	PASS_WITH_SCOPE_BIOLOGY_DEFERRED	Logical read_id-to-assignment-to-projection-to-caller-to-materialized-evidence trace is frozen; Stage-internal paths are replaceable under parity and guarantee gates.		/mnt/intelssd/rnatr_project/docs/contracts/RNA_TR_Scout_Candidate_assignment_reverse_traceability_contract_v0.1.1.md	2026-08-12T09:45:00+00:00
censoring_semantics	RNA repeat censoring and interval semantics	REFERENCE_IMPLEMENTED_V0.3.0	SPAN may yield exact length when sequence context bounds the tract. LEFT/RIGHT/BOTH-censored molecules yield observed repeat lower bounds only with no invented finite upper bound. Projection-window edges are context limits, not biological censoring.		/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.3.0.md	2026-08-06T00:00:00+00:00
core_freeze_preservation_governance_v0_1_0	Core Freeze preservation and governance contract	SATISFIED_LOCAL_CORE_FREEZE_V0_1_0	Owner-approved Packet, canonical golden evidence, documentation layout, exact evidence retention and checksum manifest satisfy local Core Freeze scope; cleanup/public release remain open.		/mnt/intelssd/rnatr_project/docs/core_freeze/v0.1.1/RNA_TR_Scout_Core_Freeze_Packet_v0.1.1.md	2026-08-12T09:45:00+00:00
core_result_manifest_v0_1_0	Portable Core result manifest v0.1.0	ACTIVE_INTERFACE	Publish logical resources, checksums, versions, relative artifacts, stable join keys, coordinate/scientific semantics, validation and performance references without absolute paths; keep local paths in resource_bindings.local.json.	impl_core_generic_production_entry_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
evidence_schema_v042	Evidence schema v0.4.2	ACTIVE_FROZEN_CORE_EVIDENCE_CONTRACT	Schema v0.4.2 plus materializer v0.1.2 is the active Core evidence contract. It passed generic single-unit and 12-shard exact 100k parity, empirical 5.31M execution, scoped release-scale reconstruction/restart, frozen validators and portable manifest publication. Biology sidecars and G25-G34 remain separate.	impl_core_generic_production_entry_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
failure_code_qc_flags_materialization_v010	Failure code, QC flags, and materialization status	FROZEN_V0.1.0	failure_code is a singular primary evidence failure classification; qc_flags are non-exclusive simultaneous conditions; materialization_status records whether a caller attempt is normalized as a locus-associated repeat_event. These fields are not required to contain the same reason.		/mnt/intelssd/rnatr_project/results/14_schema_v042_promotion/ENCSR307SHM_pilot100k_mm2splice_v1/v0.1.2/FAILURE_CODE_QC_FLAGS_MATERIALIZATION_CONTRACT_v0.1.0.md	2026-08-06T00:00:00+00:00
fastq_to_bam_mapping_baseline_v0_3_1	Frozen minimap2 splice FASTQ-to-BAM baseline	REFERENCE_BASELINE_OUTSIDE_ACTIVE_CORE	Retain minimap2 2.31-r1302 splice mapping with junction BED, secondary alignments, N=10, MD and cs=long as the current scientific mapping baseline. Mapping is outside BAM-to-final timing; post-Freeze acceleration requires TR-locus recall, locus assignment and final-output parity.	impl_8e35dcc35a40649c98d0334e	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
future_extensibility_boundaries_v0_1_0	Future-extensibility boundaries	PASS_NO_HARD_COUPLING	All seven audited boundaries are open/current-profile-scoped/post-Freeze extensions; zero hard couplings require pre-Freeze Core remediation.		/mnt/intelssd/rnatr_project/docs/contracts/RNA_TR_Scout_Future_extensibility_boundary_contract_v0.1.1.md	2026-08-12T09:45:00+00:00
