limitation_key	severity	statement	mitigation	evidence_path	effective_at
GENERAL_PATHOGENICITY_UNDEFINED	CRITICAL	Pathogenic/benign thresholds are not established for most TR loci.	Report population-relative RNA observations; reserve disease thresholds for curated known loci.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
PERFORMANCE_11F_11H_DOMINATE_RUNTIME	CRITICAL	Across five complete 100k-read frozen replays, 11f averaged 308.6 s (48.6444% of profiled stage time) and 11h averaged 199.8 s (31.4943%), for a combined 80.1387%.	Profile the exact 11f/11h compute kernels on a small frozen fixture. Preserve frozen v0.4.0 semantics while testing removal of duplicate work, CPU parallelization, compiled kernels, and GPU batching.	/mnt/intelssd/rnatr_project/results/13_performance_discovery/v0.1.0/stage_runtime_summary.tsv	2026-08-07T07:31:00+00:00
BIOLOGICAL_TRUTH_VALIDATION_INCOMPLETE	HIGH	Algorithmic and implementation validation is strong, but truth-bearing biological validation on experimental/same-individual orthogonal repeat measurements remains incomplete.	After 100k production integration and performance gates stabilize, validate on disease-repeat / synthetic-RNA / orthogonal DNA truth datasets before strong biological claims.	/mnt/intelssd/rnatr_project/validation/release_gates_v0.1.0.tsv	2026-08-07T12:45:00+00:00
CALLER_AUTOMATIC_STRATEGY_COVERAGE_GAPS	HIGH	The production caller adapter automatically executes SIMPLE_PERIODIC_SCAN, MULTI_MOTIF_PERIODIC_SCAN and LONG_UNIT_21_TO_100_PERIODIC_SCAN. Specialized motif-job strategies including VARIATION_CLUSTER_MULTI_MOTIF_SEQUENCE_SCAN, IUPAC_PERIODIC_SCAN, COMPLEX_DISEASE_REGION_SEQUENCE_REVIEW, LONG_UNIT_GT100_SEQUENCE_REVIEW, NO_MOTIF_MANUAL_REVIEW and UNSUPPORTED_SYMBOL_MANUAL_REVIEW are not all automatically converted into final repeat measurements.	Retain candidate/projection evidence and explicit not-attempted states, avoid interpreting unmeasured rows as repeat absence, state this limitation in v0.5.0 scope, and address specialized strategies after release engineering without changing the frozen Core contract.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/scripts/rnatr_stage15a_native_v041_runid_adapter_v0.2.1.py	2026-08-17T01:39:02+00:00
CORE_V042_NOT_YET_BIOLOGY_OR_INTERPRETATION_READY	HIGH	The core package does not yet contain versioned transcript/isoform, haplotype, explicit observability, or molecule-independence sidecars and does not yet generate sample-locus summaries, purpose-specific ranking lanes, or researcher-facing dossiers.	Complete the formal output audit and implement G20-G23 after Stage 15A scaling architecture stabilizes, while preserving the core 5-table package and read-level distributions.	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-08T13:40:00+00:00
PROJECTION_WINDOW_IS_NOT_MOLECULE_CENSORING	HIGH	A projection-window edge is an analysis-context limit and must not be interpreted as biological/read censoring.	Use explicit evidence geometry for LEFT/RIGHT/BOTH censoring; report projection-window edge truncation separately as CONTEXT_LIMITED_LOWER_BOUND. Materialize full raw reads for later molecule-level validation when needed.	/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.3.0.md	2026-08-07T05:00:00+00:00
RNA_DNA_METHOD_DIFFERENCE	HIGH	RNA ONT cDNA measurements and DNA HiFi population calls have platform, library, caller, and biological differences.	Use the six fetal-brain RNA datasets for technical-bias characterization and retain DNA comparison as context.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
SIX_SAMPLE_PANEL_ENGINEERING_ONLY	HIGH	The six equalized fetal-brain 100k-read datasets are too small and biologically heterogeneous to define precise locus/motif/length/support-specific RNA technical distributions.	Use them only for engineering robustness and gross-artifact checks. Perform precise RNA background calibration only after the caller is stable/fast and many samples can be processed.	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
STAGE15E_CHECKPOINT_BASED_SCOPE_NOT_UPSTREAM_FULL_RERUN	HIGH	Stage15E proves checkpoint-based reconstruction with one fresh target shard and selective caller-to-final resume; it is not an independent upstream BAM partition/11b/11d3/11e full rerun.	Do not generalize the evidence beyond the registered scope; retain G28 and clean-install gates.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
FULLSCALE_PEAK_DISK_USAGE_NOT_FORMALLY_BENCHMARKED	MODERATE	A 5.31-million-read restart audit observed approximately 140 GB of checkpoint/work files at one stage, but true peak disk usage has not yet been formally measured.	Measure peak disk usage in a full-scale release-engineering run before publishing a fixed large-run storage recommendation; do not present 300 GB as a measured requirement.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16T_USER_FACING_DOCUMENTATION_REVIEW_v0.1.0.md	2026-08-17T01:39:02+00:00
