question_key	priority	blocking	question	next_action	evidence_path	effective_at
PUBLIC_RC_PRO_CROSSCUT_AUDIT	CRITICAL	1	Does the complete post-Freeze release-engineering state pass a final Pro-level cross-cut audit without Freeze drift, obsolete active paths, implementation-state inflation, release-claim overreach, or SSOT/Git/docs state drift?	Run once immediately before public RC after remaining High-mode release-engineering tasks stabilize.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16T_USER_FACING_DOCUMENTATION_REVIEW_v0.1.0.md	2026-08-17T01:39:02+00:00
CLEAN_INSTALL_INTERNAL_BETA	HIGH	1	Can an independent clean machine install software/references and reproduce a test run without developer-local paths?	Implement and validate G25-G30 before v0.5.0-rc1/internal beta.	/mnt/intelssd/rnatr_project/validation/release_gates_v0.3.1.tsv	2026-08-10T12:30:00+00:00
FULL_NETWORK_FRESH_INSTALL_RC	HIGH	1	Can a fresh clone on a clean supported machine acquire the intended public resources over the network and run the public FASTQ-to-final workflow successfully?	Execute the final network fresh-install validation after catalog hosting is finalized.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/config/resources/standard_v0.1.1/validated_profile.json	2026-08-17T01:39:02+00:00
PUBLIC_CATALOG_BUNDLE_HOSTING	HIGH	1	What stable public location will distribute the compact validated catalog bundle with exact SHA binding?	Finalize hosting and update the standard resource profile/public acquisition path before public RC.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/config/resources/standard_v0.1.1/validated_profile.json	2026-08-17T01:39:02+00:00
BIOLOGY_READY_INTERPRETATION_OUTPUT_AUDIT	CRITICAL	0	Can the final output support same-haplotype molecule-level repeat heterogeneity, repeat-to-isoform/splicing association, observability-aware inference, molecule-independence-aware support, purpose-specific triage, and fully traceable researcher dossiers without losing core read-level repeat information?	Begin post-Freeze G20-G23 sidecar/interpretation implementation without rewriting the Core five-table source of truth.	/mnt/intelssd/rnatr_project/docs/core_freeze/v0.1.1/RNA_TR_Scout_Core_Freeze_Packet_v0.1.1.md	2026-08-12T09:45:00+00:00
CORE_FREEZE_GIT_TAG_AND_PUBLIC_RELEASE_BINDING	HIGH	0	Has the local Core Freeze been converted into a clean-install, cross-hardware, full-commit/tag-bound, thesis-citable public v0.5.0 release?	Complete G25-G30, repository/lock/license/CITATION work, clean install and immutable Git release binding.	/mnt/intelssd/rnatr_project/docs/contracts/RNA_TR_Scout_Core_Technical_Completion_and_Freeze_contract_v0.1.2.md	2026-08-12T09:45:00+00:00
RNA_TECHNICAL_FLOOR	HIGH	0	What locus-, motif-, support-, and platform-specific difference should define the technical floor for longer/shorter RNA observations?	DEFER until the general caller is stable and fast enough to process many RNA long-read samples; do not estimate a precise locus/motif technical floor from the six-sample pilot.	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
TRANSCRIPT_OBSERVABILITY	HIGH	0	Which genomic TR loci are actually reached and represented in complete RNA molecules, and how does this vary across CDS, UTR, intron, isoform, and platform?	Add transcript projection and observability after core caller stabilization.	/mnt/intelssd/rnatr_project/docs/design	2026-08-06T00:00:00+00:00
DOWNLOADS_ARTIFACT_CLEANUP	MODERATE	0	Which accumulated Downloads artifacts must be preserved, moved, retained temporarily, or deleted?	After authoritative destinations and checksums are established, produce an explicit retention/deletion plan and execute cleanup separately.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
FULLSCALE_PEAK_DISK_BENCHMARK	MODERATE	0	What is the measured peak disk usage of a representative approximately five-million-read release workflow?	Instrument a full-scale run and record peak working-set disk usage before publishing a fixed storage recommendation.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16T_USER_FACING_DOCUMENTATION_REVIEW_v0.1.0.md	2026-08-17T01:39:02+00:00
G31_BIOLOGICAL_CANDIDATE_ENTRY_INTERPRETATION	MODERATE	0	What biological and algorithmic factors explain the broad candidate-entry rate and ~4.9 loci/read, and can entry be narrowed without recall loss?	Defer to biology/optimization phase; retain exact/proximal/catalog-source decomposition.	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/candidate_entry_rate_and_reason_audit.tsv	2026-08-10T00:00:00+00:00
VIENNA_RECONCILIATION	MODERATE	0	How much additional population coverage is gained after safe Vienna ONT boundary/motif reconciliation?	Run a separate audited reconciliation stage.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
