limitation_key	severity	statement	mitigation	evidence_path	effective_at
GENERAL_PATHOGENICITY_UNDEFINED	CRITICAL	Pathogenic/benign thresholds are not established for most TR loci.	Report population-relative RNA observations; reserve disease thresholds for curated known loci.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
PERFORMANCE_11F_11H_DOMINATE_RUNTIME	CRITICAL	Across five complete 100k-read frozen replays, 11f averaged 308.6 s (48.6444% of profiled stage time) and 11h averaged 199.8 s (31.4943%), for a combined 80.1387%.	Profile the exact 11f/11h compute kernels on a small frozen fixture. Preserve frozen v0.4.0 semantics while testing removal of duplicate work, CPU parallelization, compiled kernels, and GPU batching.	/mnt/intelssd/rnatr_project/results/13_performance_discovery/v0.1.0/stage_runtime_summary.tsv	2026-08-07T07:31:00+00:00
BIOLOGICAL_TRUTH_VALIDATION_INCOMPLETE	HIGH	Algorithmic and implementation validation is strong, but truth-bearing biological validation on experimental/same-individual orthogonal repeat measurements remains incomplete.	After 100k production integration and performance gates stabilize, validate on disease-repeat / synthetic-RNA / orthogonal DNA truth datasets before strong biological claims.	/mnt/intelssd/rnatr_project/validation/release_gates_v0.1.0.tsv	2026-08-07T12:45:00+00:00
CORE_FREEZE_GOVERNANCE_ARTIFACTS_NOT_YET_CREATED	HIGH	Core Freeze Packet, golden regression suite, and project-wide documentation canonicalization are required but not yet complete.	Keep G32-G34 and the corresponding SSOT questions open until exact-original reconstruction and formal artifact audits pass.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
CORE_V042_NOT_YET_BIOLOGY_OR_INTERPRETATION_READY	HIGH	The core package does not yet contain versioned transcript/isoform, haplotype, explicit observability, or molecule-independence sidecars and does not yet generate sample-locus summaries, purpose-specific ranking lanes, or researcher-facing dossiers.	Complete the formal output audit and implement G20-G23 after Stage 15A scaling architecture stabilizes, while preserving the core 5-table package and read-level distributions.	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-08T13:40:00+00:00
GENERIC_ACTIVE_PATH_GOLDEN_SUITE_NOT_YET_CANONICALLY_PACKAGED	HIGH	Positive golden and release-scale evidence is accepted, but the formal fixed-input executable golden suite, negative fixtures and canonical long-term placement are not yet complete.	Complete G33 and G34 before Core Freeze; preserve current Downloads/evidence artifacts until canonical checksummed placement.	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
GENERIC_ACTIVE_PATH_NOT_CLEAN_INSTALL_OR_CROSS_HARDWARE	HIGH	The generic Core is promoted for the current internal project, but clean-machine installation, automatic bootstrap/resource selection, cross-hardware/concurrency reproducibility and public release packaging remain open.	Keep G25-G30 and G28 open; do not claim v1/public clean-install readiness until independently validated.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
PROJECTION_WINDOW_IS_NOT_MOLECULE_CENSORING	HIGH	A projection-window edge is an analysis-context limit and must not be interpreted as biological/read censoring.	Use explicit evidence geometry for LEFT/RIGHT/BOTH censoring; report projection-window edge truncation separately as CONTEXT_LIMITED_LOWER_BOUND. Materialize full raw reads for later molecule-level validation when needed.	/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.3.0.md	2026-08-07T05:00:00+00:00
RNA_DNA_METHOD_DIFFERENCE	HIGH	RNA ONT cDNA measurements and DNA HiFi population calls have platform, library, caller, and biological differences.	Use the six fetal-brain RNA datasets for technical-bias characterization and retain DNA comparison as context.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
SIX_SAMPLE_PANEL_ENGINEERING_ONLY	HIGH	The six equalized fetal-brain 100k-read datasets are too small and biologically heterogeneous to define precise locus/motif/length/support-specific RNA technical distributions.	Use them only for engineering robustness and gross-artifact checks. Perform precise RNA background calibration only after the caller is stable/fast and many samples can be processed.	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
