question_key	priority	blocking	question	next_action	evidence_path	effective_at
ARCHITECTURE_CONSISTENCY_AUDIT_CLOSURE	CRITICAL	1	Are SSOT, active code/path, schema/contracts, performance gates, validation/restart scope, biology roadmap, and implementation lifecycle mutually consistent at each major checkpoint?	Review the Stage15N post-promotion bundle using exact originals, then perform the mandatory formal PRE_BIOLOGY Architecture audit before biology implementation.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
BIOLOGY_READY_INTERPRETATION_OUTPUT_AUDIT	CRITICAL	1	Can the final output support same-haplotype molecule-level repeat heterogeneity, repeat-to-isoform/splicing association, observability-aware inference, molecule-independence-aware support, purpose-specific triage, and fully traceable researcher dossiers without losing core read-level repeat information?	Complete G32-G34, run the exact-original PRE_BIOLOGY Architecture audit and then implement G20-G23 sidecars without rewriting the active Core 5-table source of truth.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
CORE_FREEZE_PACKET	CRITICAL	1	Has a versioned checksummed Core Freeze Packet been reconstructed from exact originals and accepted as the concise human-readable Core contract?	After the active-path decision, reconstruct the G32 packet from exact originals and bind it to the accepted golden regression, canonical docs layout, versions, and checksums.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-11T00:30:00+00:00
GOLDEN_REGRESSION_SUITE	CRITICAL	1	Does a fixed-input expected-output suite mechanically enforce the frozen Core scientific contract, including exact/logical parity rules and negative fixtures?	Canonicalize the accepted Stage15J/L/M positive evidence with fixed inputs, executable suite, negative fixtures, manifests and long-term placement before Core Freeze.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
PROJECT_WIDE_DOCS_CANONICALIZATION	CRITICAL	1	Is there one unambiguous project-wide authoritative location for architecture, governance, contracts, Core Freeze, and regression documents?	Choose the canonical layout only after rereading the actual repository; retain stage-local copies as history or pointers and close G34 before Core Freeze.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
CLEAN_INSTALL_INTERNAL_BETA	HIGH	1	Can an independent clean machine install software/references and reproduce a test run without developer-local paths?	Implement and validate G25-G30 before v0.5.0-rc1/internal beta.	/mnt/intelssd/rnatr_project/validation/release_gates_v0.3.1.tsv	2026-08-10T12:30:00+00:00
RNA_TECHNICAL_FLOOR	HIGH	0	What locus-, motif-, support-, and platform-specific difference should define the technical floor for longer/shorter RNA observations?	DEFER until the general caller is stable and fast enough to process many RNA long-read samples; do not estimate a precise locus/motif technical floor from the six-sample pilot.	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
TRANSCRIPT_OBSERVABILITY	HIGH	0	Which genomic TR loci are actually reached and represented in complete RNA molecules, and how does this vary across CDS, UTR, intron, isoform, and platform?	Add transcript projection and observability after core caller stabilization.	/mnt/intelssd/rnatr_project/docs/design	2026-08-06T00:00:00+00:00
DOWNLOADS_ARTIFACT_CLEANUP	MODERATE	0	Which accumulated Downloads artifacts must be preserved, moved, retained temporarily, or deleted?	After authoritative destinations and checksums are established, produce an explicit retention/deletion plan and execute cleanup separately.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
G31_BIOLOGICAL_CANDIDATE_ENTRY_INTERPRETATION	MODERATE	0	What biological and algorithmic factors explain the broad candidate-entry rate and ~4.9 loci/read, and can entry be narrowed without recall loss?	Defer to biology/optimization phase; retain exact/proximal/catalog-source decomposition.	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/candidate_entry_rate_and_reason_audit.tsv	2026-08-10T00:00:00+00:00
VIENNA_RECONCILIATION	MODERATE	0	How much additional population coverage is gained after safe Vienna ONT boundary/motif reconciliation?	Run a separate audited reconciliation stage.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
